날짜,거래처,품목,수량,단가,공급가액,부가세,참조
2019-06-01,,"절단석 L 3D골드 @ 5""*16MM",0,0,0,0,????
2019-06-01,,"절단석 L MFC @ 4""*16MM",0,0,0,0,????
2019-06-01,,"절단석 L 3D @ 4""*16MM",0,0,0,0,????
2019-06-01,,3M 마스크 방진1급 @ 8822,0,0,0,0,????
2019-06-01,,3M 마스크 방진2급 @ 8710L,0,0,0,0,????
2019-06-01,,3M 마스크 방진2급 @ 8812K,0,0,0,0,????
2019-06-01,,3M 마스크 방진2급 @ 9002V,0,0,0,0,????
2019-06-01,,3M 마스크 방진1급 @ 9322,0,0,0,0,????
2019-06-01,,3M 마스크 황사 KF80 @ 9012,0,0,0,0,????
2019-06-01,,3M 마스크 방진1급 @ 8922,0,0,0,0,????
2019-06-01,,3M 필터 2097K @ 특급,0,0,0,0,????
2019-06-01,,3M 필터 2091K,0,0,0,0,????
2019-06-01,,3M 필터 5N11,0,0,0,0,????
2019-06-01,,3M 필터 캡 501,0,0,0,0,????
2019-06-01,,3M 정화통 6003K,0,0,0,0,????
2019-06-01,,3M 정화통 6001K,0,0,0,0,????
2019-06-01,,3M 방독면 6200,0,0,0,0,????
2019-06-01,,3M 방독면 7502,0,0,0,0,????
2019-06-01,,3M 방독면 6800,0,0,0,0,????
2019-06-01,,3M 보안경 SF301AF,0,0,0,0,????
2019-06-01,,3M 보안경 SF301SGAF,0,0,0,0,????
2019-06-01,,3M 보안경 40654PLUS,0,0,0,0,????
2019-06-01,,3M 귀마개 1100,0,0,0,0,????
2019-06-01,,3M 귀마개 1110,0,0,0,0,????
2019-06-01,,3M 보호복 4515 @ XL-BLUE,0,0,0,0,????
2019-06-01,,3M 보호복 MG1500(46652) @ L-BLUE,0,0,0,0,????
2019-06-01,,3M 보호복 MG1500(46660) @ L-BLUE,0,0,0,0,????
2019-06-01,,3M 보호복 MG1500(73367) @ L-BLUE,0,0,0,0,????
2019-06-01,,3M 귀덮개 H9A,0,0,0,0,????
2019-06-01,,3M 귀덮개 H7P3E(보호구),0,0,0,0,????
2019-06-01,,3M 귀덮개 H7A,0,0,0,0,????
2019-06-01,,"제일 절단석 흑돌 @ 14""",0,0,0,0,????
2019-06-01,,"제일 절단석 흑돌 @ 16""",0,0,0,0,????
2019-06-01,,"제일 절단석 흑돌 @ 7""",0,0,0,0,????
2019-06-01,,"제일 절단석 흑돌 @ 5""",0,0,0,0,????
2019-06-01,,"제일 절단석 흑돌 @ 4""*1.8T",0,0,0,0,????
2019-06-01,,"제일 연마석 흑돌 @ 4""*6T",0,0,0,0,????
2019-06-01,,"제일 연마석 WA O/S @ 4""*6T",0,0,0,0,????
2019-06-01,,"에이스 절단석 @ 4""",0,0,0,0,????
2019-06-01,,"에이스 절단석 @ 5""",0,0,0,0,????
2019-06-01,,"에이스 절단석 @ 7""",0,0,0,0,????
2019-06-01,,"에이스 절단석 @ 14""",0,0,0,0,????
2019-06-01,,"에이스 절단석 @ 16""",0,0,0,0,????
2019-06-01,,"페어드 절단석 @ 4""",0,0,0,0,????
2019-06-01,,"페어드 절단석 @ 7""",0,0,0,0,????
2019-06-01,,"에이스 플랩 골드 #40 @ 4""",0,0,0,0,????
2019-06-01,,"에이스 플랩 골드 #60 @ 4""",0,0,0,0,????
2019-06-01,,"에이스 플랩 골드 #80 @ 4""",0,0,0,0,????
2019-06-01,,"에이스 플랩 #40 @ 4""",0,0,0,0,????
2019-06-01,,"에이스 플랩 #60 @ 4""",0,0,0,0,????
2019-06-01,,"에이스 플랩 #80 @ 4""",0,0,0,0,????
2019-06-01,,토치 가스 포세이돈 @ KGT-250,0,0,0,0,????
2019-06-01,,토치 예열 포세이돈 @ KGT-150,0,0,0,0,????
2019-06-01,,전등 SJ3400 LED 작업등,0,0,0,0,????
2019-06-01,,전등 서치라이트,0,0,0,0,????
2019-06-01,,"체스코 절단석 @ 4""",0,0,0,0,????
2019-06-01,,"체스코 절단석 @ 5""",0,0,0,0,????
2019-06-01,,"나까야 절단석 @ 4""",0,0,0,0,????
2019-06-01,,"나까야 절단석 @ 5""",0,0,0,0,????
2019-08-27,그린종합건재철물,"3M 절단석 보급형 @ 14""",-250,1900,475000,47500,외출
2019-08-27,그린종합건재철물,"다잘라컷팅날 @ 4""",-10,8500,85000,8500,외출
2019-08-27,그린종합건재철물,"나까야 절단석 @ 5""",-600,1000,600000,60000,외출
2019-08-28,장계건재,"3M 절단석 프리미엄 @ 14""",-100,4600,460000,0,외출
2019-09-02,신화철물,"아카시 절단석 프리미엄 @ 4""*16MM",-600,800,480000,48000,외출
2019-09-02,신화철물,"아카시 절단석 프리미엄 @ 5""*16MM",-600,1000,600000,60000,외출
2019-09-02,신화철물,"3M 절단석 65139(큐) @ 5""",-100,3400,340000,34000,외출
2019-09-02,우리장식철물,쿨토시 @ 블루,-50,950,47500,4750,외출
2019-09-02,우리장식철물,쿨토시 @ 그레이,-70,950,66500,6650,외출
2019-09-02,우리장식철물,"3M DISC 베벨 BR #180 @ 4""",-25,3850,96250,9625,외출
2019-09-02,우리장식철물,"에이스 절단석 @ 5""",-50,850,42500,4250,외출
2019-09-02,우리장식철물,"에이스 절단석 @ 7""",-25,1500,37500,3750,외출
2019-09-02,우리장식철물,"3D골드 절단석 @ 5""*16MM",-100,900,90000,9000,외출
